Snapshot Date,Warehouse,Product,Product Code,Category,Sub Category,Supplier ID,Supplier,Lead Time Days,Stock,Reserved Stock,Available Stock,Qty On Order,Reorder Point,Suggested Reorder Qty,Avg Monthly Demand,Days Cover,Unit Cost,Inventory Value,Aging Bucket,Lifecycle Stage,Status Notes
2025-12-31,Cape Town DC,Widget Orion,SKU008,Electronics,Sensors,SUP005,PrimeLine Imports,45,367,47,320,235,35.0,0,702.3,15.7,310,,31-60 days,mature,high priority item
2025/12/31,Durban Hub,Widget Orion,SKU008,Electronics,Sensors,SUP005,PrimeLine Imports,45,571,57,514,505,35.0,0,702.3,24.4,310,177010,90+ days,mature,high priority item
2025-12-31,Pretoria Hub,Widget Orion,SKU008,Electronics,Sensors,SUP005,PrimeLine Imports,45,438,21,417,431,35.0,0,702.3,18.7,310,135780,90+ days,mature,high priority item
2025/12/31,Johannesburg DC,Widget Pulse,SKU009,Electronics,Sensors,SUP005,PrimeLine Imports,45,520,88,432,451,30.0,0,878.3,17.8,345,179400,61-90 days,new,
2025/12/31,Cape Town DC,Widget Pulse,SKU009,Electronics,Sensors,SUP005,PrimeLine Imports,45,388,31,357,596,30.0,0,878.3,13.3,345,133860,61-90 days,new,high priority item
2025-12-31,Durban Hub,Widget Pulse,SKU009,Electronics,Sensors,SUP005,PrimeLine Imports,45,1145,67,518,315,30.0,0,878.3,20.0,345,201825,31-60 days,new,possible overstock
31/12/2025,Pretoria Hub,Widget Pulse,SKU009,Electronics,Sensors,SUP005,PrimeLine Imports,45,336,56,280,309,30.0,0,878.3,11.5,345,115920,61-90 days,new,high priority item
2025/12/31,Johannesburg DC,Widget Quantum,SKU010,Electronics,Controllers,SUP005,PrimeLine Imports,45,644,104,540,520,25.0,0,709.7,27.2,510.00,328440,61-90 days,declining,
31/12/2025,Cape Town DC,Widget Quantum,SKU010,Electronics,Controllers,SUP005,PrimeLine Imports,45,1078,53,398,373,25.0,0,709.7,19.1,510,230010,31-60 days,declining,possible overstock
31/12/2025,Durban Hub,Widget Quantum,SKU010,Electronics,Controllers,SUP005,PrimeLine Imports,45,450,77,373,318,25.0,0,709.7,19.0,510,229500,0-30 days,declining,slow moving
2025-12-31,Pretoria Hub,Widget Quantum,SKU010,Electronics,Controllers,SUP005,PrimeLine Imports,45,568,86,482,466,25.0,0,709.7,24.0,$510.00,289680,31-60 days,declining,cycle count pending
2025-12-31,Johannesburg DC,Widget Rift,SKU011,Packaging,Boxes,SUP004,MetroSource Wholesale,10,11117,1328,9789,4103,300.0,0,5822.0,57.3,8,88936,61-90 days,mature,cycle count pending
2025/12/31,Cape Town DC,Widget Rift,SKU011,Packaging,Boxes,SUP004,MetroSource Wholesale,10,11579,1139,10440,2790,300.0,0,5822.0,59.7,8,92632,31-60 days,mature,slow moving
2025/12/31,Durban Hub,Widget Rift,SKU011,Packaging,Boxes,SUP004,MetroSource Wholesale,10,11490,1754,9736,1255,,0,5822.0,59.2,8,91920,90+ days,mature,slow moving
31/12/2025,Pretoria Hub,Widget Rift,SKU011,Packaging,Boxes,SUP004,MetroSource Wholesale,10,9378,277,9101,1887,300.0,0,5822.0,48.3,8,75024,31-60 days,mature,slow moving
31/12/2025,Johannesburg DC,Widget Spark,SKU012,Packaging,Labels,SUP004,MetroSource Wholesale,10,9513,1676,7837,2493,400.0,0,4761.7,59.9,4,38052,0-30 days,mature,high priority item
31/12/2025,Cape Town DC,Widget Spark,SKU012,Packaging,Labels,SUP004,MetroSource Wholesale,10,6698,354,6344,2372,,0,4761.7,42.2,4,26792,31-60 days,mature,
31/12/2025,Durban Hub,Widget Spark,SKU012,Packaging,Labels,SUP004,MetroSource Wholesale,10,11078,747,10331,3777,400.0,0,4761.7,69.8,4,44312,0-30 days,mature,slow moving
2025-12-31,Pretoria Hub,Widget Spark,SKU012,Packaging,Labels,SUP004,MetroSource Wholesale,10,10912,1313,9599,2363,400.0,0,4761.7,68.7,R4.00,43648,0-30 days,mature,
